#Wave_number	#Intensity
1681.906250	3064.451172
1680.550781	3012.325195
1679.193359	3057.847412
1677.835938	3042.575684
1676.478516	3062.296387
1675.121094	3056.234375
1673.761719	3059.378418
1672.404297	3038.595215
1671.044922	3061.982422
1669.685547	3090.880859
1668.328125	3033.312988
1666.968750	3084.275879
1665.607422	3069.022461
1664.248047	3094.221436
1662.888672	3053.236816
1661.527344	3054.537354
1660.167969	3144.039307
1658.806641	3130.625488
1657.445313	3102.520752
1656.083984	3089.118652
1654.722656	3119.791016
1653.361328	3110.062256
1652.000000	3102.172119
1650.636719	3074.096680
1649.275391	3113.924316
1647.912109	3150.068604
1646.548828	3081.644287
1645.185547	3068.263672
1643.822266	3095.228027
1642.458984	3043.349121
1641.095703	3095.970703
1639.730469	3056.938477
1638.367188	3032.579102
1637.001953	3108.990723
1635.636719	3093.789063
1634.271484	3133.534912
1632.906250	3145.800049
1631.541016	3121.445801
1630.175781	3109.912842
1628.810547	3255.773926
1627.443359	3163.710205
1626.076172	3168.640869
1624.710938	3142.474121
1623.343750	3154.721680
1621.976563	3230.962402
1620.609375	3230.392578
1619.240234	3266.380127
1617.873047	3256.666260
1616.503906	3270.709473
1615.136719	3319.458496
1613.767578	3375.496582
1612.398438	3290.893799
1611.029297	3310.398193
1609.660156	3464.990234
1608.291016	3475.330322
1606.919922	3440.042725
1605.550781	3477.752930
1604.179688	3502.679443
1602.808594	3596.908691
1601.437500	3681.986084
1600.066406	3719.626465
1598.695313	3872.103760
1597.324219	3991.718506
1595.953125	4032.928467
1594.580078	4223.532227
1593.208984	4428.642578
1591.835938	4589.966309
1590.462891	4787.654785
1589.089844	5050.821289
1587.716797	5299.330566
1586.343750	5427.623535
1584.968750	5615.924805
1583.595703	5669.517090
1582.220703	5723.089844
1580.845703	5747.542480
1579.470703	5750.163574
1578.095703	5538.236328
1576.720703	5337.291016
1575.345703	5049.173340
1573.970703	4946.515625
1572.593750	4689.456055
1571.218750	4463.369629
1569.841797	4284.585938
1568.464844	4156.711426
1567.087891	3936.285400
1565.710938	3828.485840
1564.333984	3718.909668
1562.955078	3585.781250
1561.578125	3461.771484
1560.199219	3439.390625
1558.820313	3344.469727
1557.443359	3352.944824
1556.064453	3326.968750
1554.685547	3330.005615
1553.304688	3095.614014
1551.925781	3209.228516
1550.544922	3051.035645
